IndexNumber,Balance,State
UENR11150,0,0
UENR11149,0,0
UENR11148,0,0
UENR11147,0,0
UENR11146,0,0
UENR11145,0,0
UENR11144,0,0
UENR11143,0,0
UENR11142,0,0
UENR11141,0,0
UENR11140,0,0
UENR11139,0,0
UENR11138,0,0
UENR11137,0,0
UENR11136,0,0
UENR11135,0,0
UENR11102,0,0
UENR11101,0,0
UENR11100,0,0
UENR11099,0,0
UENR11098,0,0
UENR11097,0,0
UENR11096,0,0
UENR11095,0,0
UENR11094,0,0
UENR11093,0,0
UENR11092,0,0
UENR11091,0,0
UENR11090,0,0
UENR11089,0,0
UENR11088,0,0
UENR11087,0,0
UENR11022,0,0
UENR11021,0,0
UENR11020,0,0
UENR11019,0,0
UENR11018,0,0
UENR11017,0,0
UENR11016,0,0
UENR11015,0,0
UENR11014,0,0
UENR11013,0,0
UENR11012,0,0
UENR11011,0,0
UENR11010,0,0
UENR11009,0,0
UENR11008,0,0
UENR11007,0,0
UENR10958,0,0
UENR10957,0,0
UENR10956,0,0
UENR10955,0,0
UENR10954,0,0
UENR10953,0,0
UENR10952,0,0
UENR10951,0,0
UENR10950,0,0
UENR10949,0,0
UENR10948,0,0
UENR10947,0,0
UENR10946,0,0
UENR10945,0,0
UENR10944,0,0
UENR10943,0,0
UENR10894,0,0
UENR10893,0,0
UENR10892,0,0
UENR10891,0,0
UENR10890,0,0
UENR10889,0,0
UENR10888,0,0
UENR10887,0,0
UENR10886,0,0
UENR10885,0,0
UENR10884,0,0
UENR10883,0,0
UENR10882,0,0
UENR10881,0,0
UENR10880,0,0
UENR10879,0,0
UENR10830,0,0
UENR10829,0,0
UENR10828,0,0
UENR10827,0,0
UENR10826,0,0
UENR10825,0,0
UENR10824,0,0
UENR10823,0,0
UENR10822,0,0
UENR10821,0,0
UENR10820,0,0
UENR10819,0,0
UENR10818,0,0
UENR10817,0,0
UENR10816,0,0
UENR10815,0,0
UENR10782,0,0
UENR10781,0,0
UENR10780,0,0
UENR10779,0,0
UENR10778,0,0
UENR10777,0,0
UENR10776,0,0
UENR10775,0,0
UENR10774,0,0
UENR10773,0,0
UENR10772,0,0
UENR10771,0,0
UENR10770,0,0
UENR10769,0,0
UENR10768,0,0
UENR10767,0,0
UENR10494,0,0
UENR10493,0,0
UENR10492,0,0
UENR10491,0,0
UENR10490,0,0
UENR10489,0,0
UENR10488,0,0
UENR10487,0,0
UENR10486,0,0
UENR10485,0,0
UENR10484,0,0
UENR10483,0,0
UENR10482,0,0
UENR10481,0,0
UENR10480,0,0
UENR10479,0,0
UENR10430,0,0
UENR10429,0,0
UENR10428,0,0
UENR10427,0,0
UENR10426,0,0
UENR10425,0,0
UENR10424,0,0
UENR10423,0,0
UENR10422,0,0
UENR10421,0,0
UENR10420,0,0
UENR10419,0,0
UENR10418,0,0
UENR10417,0,0
UENR10416,0,0
UENR10415,0,0
UENR10382,0,0
UENR10381,0,0
UENR10380,0,0
UENR10379,0,0
UENR10378,0,0
UENR10377,0,0
UENR10376,0,0
UENR10375,0,0
UENR10374,0,0
UENR10373,0,0
UENR10372,0,0
UENR10371,0,0
UENR10370,0,0
UENR10369,0,0
UENR10368,0,0
UENR10367,0,0
UENR10334,0,0
UENR10333,0,0
UENR10332,0,0
UENR10331,0,0
UENR10330,0,0
UENR10329,0,0
UENR10328,0,0
UENR10327,0,0
UENR10326,0,0
UENR10325,0,0
UENR10324,0,0
UENR10323,0,0
UENR10322,0,0
UENR10321,0,0
UENR10320,0,0
UENR10319,0,0
UENR10254,0,0
UENR10253,0,0
UENR10252,0,0
UENR10251,0,0
UENR10250,0,0
UENR10249,0,0
UENR10248,0,0
UENR10247,0,0
UENR10246,0,0
UENR10245,0,0
UENR10244,0,0
UENR10243,0,0
UENR10242,0,0
UENR10241,0,0
UENR10240,0,0
UENR10239,0,0
UENR10206,0,0
UENR10205,0,0
UENR10204,0,0
UENR10203,0,0
UENR10202,0,0
UENR10201,0,0
UENR10200,0,0
UENR10199,0,0
UENR10198,0,0
UENR10197,0,0
UENR10196,0,0
UENR10195,0,0
UENR10194,0,0
UENR10193,0,0
UENR10192,0,0
UENR10191,0,0
UENR10142,0,0
UENR10141,0,0
UENR10140,0,0
UENR10139,0,0
UENR10138,0,0
UENR10137,0,0
UENR10136,0,0
UENR10135,0,0
UENR10134,0,0
UENR10133,0,0
UENR10132,0,0
UENR10131,0,0
UENR10130,0,0
UENR10129,0,0
UENR10128,0,0
UENR10127,0,0
UENR10094,0,0
UENR10093,0,0
UENR10092,0,0
UENR10091,0,0
UENR10090,0,0
UENR10089,0,0
UENR10088,0,0
UENR10087,0,0
UENR10086,0,0
UENR10085,0,0
UENR10084,0,0
UENR10083,0,0
UENR10082,0,0
UENR10081,0,0
UENR10080,0,0
UENR10079,0,0
UENR10046,0,0
UENR10045,0,0
UENR10044,0,0
UENR10043,0,0
UENR10042,0,0
UENR10041,0,0
UENR10040,0,0
UENR10039,0,0
UENR10038,0,0
UENR10037,0,0
UENR10036,0,0
UENR10035,0,0
UENR10034,0,0
UENR10033,0,0
UENR10032,0,0
UENR10031,0,0
UENR9998,0,0
UENR9997,0,0
UENR9996,0,0
UENR9995,0,0
UENR9994,0,0
UENR9993,0,0
UENR9992,0,0
UENR9991,0,0
UENR9990,0,0
UENR9989,0,0
UENR9988,0,0
UENR9987,0,0
UENR9986,0,0
UENR9985,0,0
UENR9984,0,0
UENR9983,0,0
UENR9918,0,0
UENR9917,0,0
UENR9916,0,0
UENR9915,0,0
UENR9914,0,0
UENR9913,0,0
UENR9912,0,0
UENR9911,0,0
UENR9910,0,0
UENR9909,0,0
UENR9908,0,0
UENR9907,0,0
UENR9906,0,0
UENR9905,0,0
UENR9904,0,0
UENR9903,0,0
UENR9854,0,0
UENR9853,0,0
UENR9852,0,0
UENR9851,0,0
UENR9850,0,0
UENR9849,0,0
UENR9848,0,0
UENR9847,0,0
UENR9846,0,0
UENR9845,0,0
UENR9844,0,0
UENR9843,0,0
UENR9842,0,0
UENR9841,0,0
UENR9840,0,0
UENR9839,0,0
UENR9774,0,0
UENR9773,0,0
UENR9772,0,0
UENR9771,0,0
UENR9770,0,0
UENR9769,0,0
UENR9768,0,0
UENR9767,0,0
UENR9766,0,0
UENR9765,0,0
UENR9764,0,0
UENR9763,0,0
UENR9762,0,0
UENR9761,0,0
UENR9760,0,0
UENR9759,0,0
UENR9726,0,0
